Time,VII_Lg,IX_Lg,P15,P16,3x_h2,3x_o2,4x_h2,4x_o2,25x_h2,25x_o2,35x_h2,35x_o2,VIIx_h2,VIIx_o2,IXx_h2,IXx_o2,XIIIx_h2,XIIIx_o2,
          2.00000000,          0.29999477,          0.29999477,    2999947.66145604,    2999947.67342242,          0.00000542,          0.00000000,          0.00000007,          0.00000274,          1.00000000,          0.00000000,          0.00000001,          0.99999999,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          2.10000000,          0.29999450,          0.29999450,    2999945.04330696,    2999945.05527916,          0.00000569,          0.00000000,          0.00000008,          0.00000288,          1.00000000,          0.00000000,          0.00000001,          0.99999999,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          2.20000000,          0.29999424,          0.29999424,    2999942.42523557,    2999942.43721379,          0.00000596,          0.00000000,          0.00000008,          0.00000302,          1.00000000,          0.00000000,          0.00000001,          0.99999999,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          2.30000000,          0.29999398,          0.29999398,    2999939.80724248,    2999939.81922694,          0.00000623,          0.00000000,          0.00000009,          0.00000316,          1.00000000,          0.00000000,          0.00000001,          0.99999999,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          2.40000000,          0.29999372,          0.29999372,    2999937.18932831,    2999937.20131921,          0.00000650,          0.00000000,          0.00000009,          0.00000329,          1.00000000,          0.00000000,          0.00000001,          0.99999999,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          2.50000000,          0.29999346,          0.29999346,    2999934.57149362,    2999934.58349117,          0.00000677,          0.00000000,          0.00000009,          0.00000343,          1.00000000,          0.00000000,          0.00000001,          0.99999999,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          2.60000000,          0.29999320,          0.29999319,    2999931.95373898,    2999931.96574340,          0.00000704,          0.00000000,          0.00000010,          0.00000357,          1.00000000,          0.00000000,          0.00000001,          0.99999999,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          2.70000000,          0.29999293,          0.29999293,    2999929.33606493,    2999929.34807643,          0.00000731,          0.00000000,          0.00000010,          0.00000371,          1.00000000,          0.00000000,          0.00000001,          0.99999999,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          2.80000000,          0.29999267,          0.29999267,    2999926.71847203,    2999926.73049082,          0.00000758,          0.00000000,          0.00000011,          0.00000384,          1.00000000,          0.00000000,          0.00000001,          0.99999999,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          2.90000000,          0.29999241,          0.29999241,    2999924.10096081,    2999924.11298710,          0.00000785,          0.00000000,          0.00000011,          0.00000398,          1.00000000,          0.00000000,          0.00000001,          0.99999999,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
