       Time,    ec 1-1n, ec 1-1n-h2, ec 1-1n-o2,    ec 1-2n, ec 1-2n-h2, ec 1-2n-o2,      cs 1n,   cs 1n-h2,   cs 1n-o2,   cs 1-l_g,     cs 2-p,      cs 2n,   cs 2n-h2,   cs 2n-o2,      as 1n,   as 1n-h2,   as 1n-o2,   as 1-l_g,     as 2-p,      as 2n,   as 2n-h2,   as 2n-o2,      bp 1n,   bp 1n-h2,   bp 1n-o2,
         70.00000000,         17.39781145,          0.00243224,          0.00000000,         18.52681874,          0.00000000,          0.00121612,        360.98642231,          0.00000000,          0.00000000,          0.29999695,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        359.89554641,          0.00000000,          0.00000000,          0.30000279,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
         75.00000000,         17.28922300,          0.00260597,          0.00000000,         18.47019146,          0.00000000,          0.00130298,        361.09274954,          0.00000000,          0.00000000,          0.29999674,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        359.95485704,          0.00000000,          0.00000000,          0.30000300,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
         80.00000000,         17.18617432,          0.00277970,          0.00000000,         18.41629879,          0.00000000,          0.00138985,        361.19342448,          0.00000000,          0.00000000,          0.29999653,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.01153286,          0.00000000,          0.00000000,          0.30000321,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
         85.00000000,         17.08838255,          0.00295343,          0.00000000,         18.36500762,          0.00000000,          0.00147671,        361.28873595,          0.00000000,          0.00000000,          0.29999632,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.06570062,          0.00000000,          0.00000000,          0.30000342,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
         90.00000000,         16.99557931,          0.00312716,          0.00000000,         18.31619134,          0.00000000,          0.00156358,        361.37895800,          0.00000000,          0.00000000,          0.29999611,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.11748089,          0.00000000,          0.00000000,          0.30000363,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
         95.00000000,         16.90750988,          0.00330089,          0.00000000,         18.26972954,          0.00000000,          0.00165045,        361.46435074,          0.00000000,          0.00000000,          0.29999591,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.16698838,          0.00000000,          0.00000000,          0.30000384,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        100.00000000,         16.82393258,          0.00347462,          0.00000000,         18.22550767,          0.00000000,          0.00173731,        361.54516094,          0.00000000,          0.00000000,          0.29999570,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.21433224,          0.00000000,          0.00000000,          0.30000404,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        105.00000000,         16.74461805,          0.00364835,          0.00000000,         18.18341682,          0.00000000,          0.00182418,        361.62162282,          0.00000000,          0.00000000,          0.29999549,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.25961629,          0.00000000,          0.00000000,          0.30000425,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        110.00000000,         16.66934864,          0.00382208,          0.00000000,         18.14335335,          0.00000000,          0.00191104,        361.69395860,          0.00000000,          0.00000000,          0.29999528,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.30293932,          0.00000000,          0.00000000,          0.30000446,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        115.00000000,         16.59791783,          0.00399581,          0.00000000,         18.10521873,          0.00000000,          0.00199791,        361.76237918,          0.00000000,          0.00000000,          0.29999507,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.34439531,          0.00000000,          0.00000000,          0.30000467,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        120.00000000,         16.53012962,          0.00416955,          0.00000000,         18.06891919,          0.00000000,          0.00208477,        361.82708469,          0.00000000,          0.00000000,          0.29999486,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.38407369,          0.00000000,          0.00000000,          0.30000488,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        125.00000000,         16.46579805,          0.00434328,          0.00000000,         18.03436559,          0.00000000,          0.00217164,        361.88826504,          0.00000000,          0.00000000,          0.29999465,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.42205952,          0.00000000,          0.00000000,          0.30000509,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        130.00000000,         16.40474661,          0.00451701,          0.00000000,         18.00147310,          0.00000000,          0.00225850,        361.94610042,          0.00000000,          0.00000000,          0.29999445,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.45843377,          0.00000000,          0.00000000,          0.30000530,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
